"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","2020.02.1","GPL-2.0+","COPYING","not saved","not saved",""
"tar","1.29","GPL-3.0+","COPYING","tar-1.29.cpio.gz","http://ftpmirror.gnu.org/tar","host-skeleton [unknown]"
"autoconf","2.69","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.69.tar.xz","http://ftpmirror.gnu.org/autoconf","host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libtool","2.4.6","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.4.6.tar.xz","http://ftpmirror.gnu.org/libtool","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftpmirror.gnu.org/m4","host-skeleton [unknown] host-tar [GPL-3.0+]"
"automake","1.15.1","GPL-2.0+","COPYING","automake-1.15.1.tar.xz","http://ftpmirror.gnu.org/automake","host-autoconf [GPL-3.0+ with exceptions] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"gettext-tiny","adaa9c64921e80f2b8dd3610ffb508618b9204f3","MIT, GPL-3.0+ (extra gettext)","LICENSE extra/COPYING","gettext-tiny-adaa9c64921e80f2b8dd3610ffb508618b9204f3.tar.gz","https://github.com/sabotage-linux/gettext-tiny/archive/adaa9c64921e80f2b8dd3610ffb508618b9204f3","host-skeleton [unknown] host-tar [GPL-3.0+]"
"pkgconf","1.6.1","pkgconf license","COPYING","pkgconf-1.6.1.tar.xz","https://distfiles.dereferenced.org/pkgconf","host-skeleton [unknown] host-tar [GPL-3.0+]"
"ncurses","6.1","MIT with advertising clause","COPYING","ncurses-6.1.tar.gz","http://ftpmirror.gnu.org/ncurses","host-skeleton [unknown] host-tar [GPL-3.0+]"
"fwup","1.7.0","Apache-2.0","LICENSE","fwup-1.7.0.tar.gz","https://github.com/fhunleth/fwup/archive/v1.7.0","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libarchive [BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0] host-libconfuse [ISC] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libarchive","3.4.2","BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0","COPYING","libarchive-3.4.2.tar.gz","https://www.libarchive.de/downloads","host-libzlib [Zlib] host-skeleton [unknown] host-tar [GPL-3.0+]"
"libzlib","1.2.11","Zlib","README","zlib-1.2.11.tar.xz","http://www.zlib.net","host-skeleton [unknown] host-tar [GPL-3.0+]"
"libconfuse","3.2.2","ISC","LICENSE","confuse-3.2.2.tar.xz","https://github.com/martinh/libconfuse/releases/download/v3.2.2","host-skeleton [unknown] host-tar [GPL-3.0+]"
"bison","3.4.2","GPL-3.0+","COPYING","bison-3.4.2.tar.xz","http://ftpmirror.gnu.org/bison","host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"flex","2.6.4","FLEX","COPYING","flex-2.6.4.tar.gz","https://github.com/westes/flex/files/981163","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-gettext-tiny [MIT, GPL-3.0+ (extra gettext)] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","https://nixos.org/releases/patchelf/patchelf-0.9","host-skeleton [unknown] host-tar [GPL-3.0+]"
"kmod","26","LGPL-2.1+ (library)","libkmod/COPYING","kmod-26.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+]"
"xz","5.2.4","Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+","COPYING COPYING.GPLv2 COPYING.GPLv3 COPYING.LGPLv2.1","xz-5.2.4.tar.bz2","https://tukaani.org/xz","host-skeleton [unknown] host-tar [GPL-3.0+]"
"acl","2.2.53","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","acl-2.2.53.tar.gz","http://download.savannah.gnu.org/releases/acl","host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-skeleton [unknown] host-tar [GPL-3.0+]"
"attr","2.4.48","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","doc/COPYING doc/COPYING.LGPL","attr-2.4.48.tar.gz","http://download.savannah.gnu.org/releases/attr","host-skeleton [unknown] host-tar [GPL-3.0+]"
"fakeroot","1.20.2","GPL-3.0+","COPYING","fakeroot_1.20.2.orig.tar.bz2","http://snapshot.debian.org/archive/debian/20141005T221953Z/pool/main/f/fakeroot","host-acl [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-attr [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"lz4","1.9.2","BSD-2-Clause (library), GPL-2.0+ (programs)","lib/LICENSE programs/COPYING","lz4-1.9.2.tar.gz","https://github.com/lz4/lz4/archive/v1.9.2","host-skeleton [unknown] host-tar [GPL-3.0+]"
"lzo","2.10","GPL-2.0+","COPYING","lzo-2.10.tar.gz","http://www.oberhumer.com/opensource/lzo/download","host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+]"
"squashfs","4.4","GPL-2.0+","COPYING","squashfs-4.4.tar.gz","https://github.com/plougher/squashfs-tools/archive/4.4","host-libzlib [Zlib] host-lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] host-lzo [GPL-2.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"zstd","1.4.3","BSD-3-Clause or GPL-2.0","LICENSE COPYING","zstd-1.4.3.tar.gz","https://github.com/facebook/zstd/archive/v1.4.3","host-skeleton [unknown] host-tar [GPL-3.0+]"
"localedef","2.30-20-g50f20fe506abb8853641006a7b90a81af21d7b91","unknown","","glibc-2.30-20-g50f20fe506abb8853641006a7b90a81af21d7b91.tar.gz","https://github.com/bminor/glibc/archive/2.30-20-g50f20fe506abb8853641006a7b90a81af21d7b91","host-bison [GPL-3.0+] host-gawk [GPL-3.0+] host-m4 [GPL-3.0+] host-skeleton [unknown] host-tar [GPL-3.0+]"
"gawk","5.0.1","GPL-3.0+","COPYING","gawk-5.0.1.tar.xz","http://ftpmirror.gnu.org/gawk","host-skeleton [unknown] host-tar [GPL-3.0+]"
