"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"toolchain-external-custom","","unknown","","nerves_toolchain_armv6_rpi_linux_gnueabi-linux_x86_64-1.3.2-CDA7B05.tar.xz","https://github.com/nerves-project/toolchains/releases/download/v1.3.2","skeleton-custom [unknown]"
"alsa-lib","1.2.1.2","LGPL-2.1+ (library), GPL-2.0+ (aserver)","COPYING aserver/COPYING","alsa-lib-1.2.1.2.tar.bz2","https://www.alsa-project.org/files/pub/lib","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"alsa-utils","1.2.1","GPL-2.0","COPYING","alsa-utils-1.2.1.tar.bz2","ftp://ftp.alsa-project.org/pub/utils","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] ncurses [MIT with advertising clause] skeleton-custom [unknown] toolchain-external-custom [unknown]"
"ncurses","6.1","MIT with advertising clause","COPYING","ncurses-6.1.tar.gz","http://ftpmirror.gnu.org/ncurses","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"busybox","1.31.1","GPL-2.0","LICENSE","busybox-1.31.1.tar.bz2","http://www.busybox.net/downloads","e2fsprogs [GPL-2.0, MIT-like with advertising clause (libss and libet)] libzlib [Zlib] ncurses [MIT with advertising clause] skeleton-custom [unknown] toolchain-external-custom [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)]"
"e2fsprogs","1.45.5","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.45.5.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.45.5","libzlib [Zlib] ncurses [MIT with advertising clause] skeleton-custom [unknown] toolchain-external-custom [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)]"
"util-linux","2.35.1","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.35.1.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.35","libzlib [Zlib] ncurses [MIT with advertising clause] skeleton-custom [unknown] toolchain-external-custom [unknown]"
"libzlib","1.2.11","Zlib","README","zlib-1.2.11.tar.xz","http://www.zlib.net","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"erlang","22.3.4.1","Apache-2.0","LICENSE.txt","OTP-22.3.4.1.tar.gz","https://github.com/erlang/otp/archive","libopenssl [OpenSSL or SSLeay] libzlib [Zlib] ncurses [MIT with advertising clause] skeleton-custom [unknown] toolchain-external-custom [unknown] unixodbc [LGPL-2.1+ (library), GPL-2.0+ (programs)]"
"libopenssl","1.1.1f","OpenSSL or SSLeay","LICENSE","openssl-1.1.1f.tar.gz","https://www.openssl.org/source","libzlib [Zlib] skeleton-custom [unknown] toolchain-external-custom [unknown]"
"unixodbc","2.3.7","LGPL-2.1+ (library), GPL-2.0+ (programs)","COPYING exe/COPYING","unixODBC-2.3.7.tar.gz","ftp://ftp.unixodbc.org/pub/unixODBC","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"espeak","1.48.04","GPL-3.0+","License.txt","espeak-1.48.04-source.zip","http://downloads.sourceforge.net/project/espeak/espeak/espeak-1.48","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"fwup","1.7.0","Apache-2.0","LICENSE","fwup-1.7.0.tar.gz","https://github.com/fhunleth/fwup/archive/v1.7.0","libarchive [BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0] libconfuse [ISC] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] skeleton-custom [unknown] toolchain-external-custom [unknown]"
"libarchive","3.4.2","BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0","COPYING","libarchive-3.4.2.tar.gz","https://www.libarchive.de/downloads","libopenssl [OpenSSL or SSLeay] libzlib [Zlib] skeleton-custom [unknown] toolchain-external-custom [unknown]"
"libconfuse","3.2.2","ISC","LICENSE","confuse-3.2.2.tar.xz","https://github.com/martinh/libconfuse/releases/download/v3.2.2","skeleton-custom [unknown] toolchain-external-custom [unknown]"
"libmnl","1.0.4","LGPL-2.1+","COPYING","libmnl-1.0.4.tar.bz2","http://netfilter.org/projects/libmnl/files","skeleton-custom [unknown] toolchain-external-custom [unknown]"
